"Austen_Emma" "Austen_Pride" "Austen_Sense" "Eliot_Adam" "Eliot_Middlemarch" "Eliot_Mill"
"enough" 0.0804003814343677 0.0870779594183849 0.0861204013377926 0.0955264854136621 0.074449871990199 0.0716725191206888
"got" 0.0224373157491259 0.0205372545798078 0.0225752508361204 0.16647576826944 0.0650258375610599 0.124585117129251
"poor" 0.0847631928300311 0.0312166269613078 0.0593645484949833 0.101554855852388 0.0766488133569981 0.0962047236519313
"sure" 0.127144789245047 0.084613488868808 0.11371237458194 0.0658483540230098 0.0653399720420312 0.0548366924816008
"here" 0.0966051094754031 0.0566828226402694 0.0510033444816054 0.0677032372349256 0.102407840796645 0.0692674010293905
"things" 0.0386420437901612 0.0230017251293847 0.0175585284280936 0.109901830306009 0.0983240925440181 0.114964644764058
"still" 0.071674758643041 0.0591472931898464 0.0836120401337793 0.0853246277481254 0.0829315029764242 0.0788878733945837
"love" 0.0729212761846591 0.0747556066705003 0.0635451505016722 0.123349733592399 0.0534028617651216 0.0851411804319592
"its" 0.0760375700387044 0.0862564692351926 0.111204013377926 0.0718767244617361 0.070366123737572 0.0745586608302468
"tell" 0.0486141841231061 0.0583258030066541 0.0752508361204013 0.0950627646106832 0.0857587133051659 0.0851411804319592
"something" 0.0704282411014229 0.0583258030066541 0.0627090301003344 0.072804166067694 0.092041402924592 0.0870652749049978
"don^t" 0.00997214033294484 0.00492894109915386 0.020066889632107 0.0950627646106832 0.100837168391789 0.150560392515273
"just" 0.10533073226673 0.0599687833730387 0.0568561872909699 0.0871795109600412 0.0753922754331129 0.0692674010293905
"rather" 0.0909957805381216 0.0451819600755771 0.0618729096989967 0.056110217160452 0.0904707305197355 0.095242676415412
"going" 0.0747910524970863 0.0468249404419617 0.0493311036789298 0.0945990438077043 0.0870152512290512 0.0788878733945837
"eyes" 0.0317861973112617 0.0427174895260002 0.0468227424749164 0.115930200744736 0.0747640064711703 0.111116455817981
"sir" 0.0411350788733974 0.0624332539226156 0.100334448160535 0.0839334653391886 0.113088413149669 0.0355957477512146
"lydgate" 0 0 0 0 0.271726326040178 0
"father" 0.103460955954303 0.0952928612503081 0.020066889632107 0.0347790602234207 0.0483767100695808 0.156332675934388
"it^s" 0 0 0.00167224080267559 0.194299016448177 0.0446070962979251 0.13997787291356
"looked" 0.0567165481436238 0.060790273556231 0.0510033444816054 0.104800901473241 0.0722509306233999 0.0803309442493626
"let" 0.0560932893728147 0.0616117637394233 0.024247491638796 0.0941353230047253 0.0694237202946581 0.0981288181249699
"dorothea" 0 0 0 0 0.25790440887744 0
"oh" 0.120288942766147 0.0780415674032695 0.0585284280936455 0.0301418521936313 0.0508897859173512 0.113521573909279
"back" 0.0405118201025884 0.0336810975108847 0.0334448160535117 0.121494850380483 0.0691095858136868 0.0880273221415172
"done" 0.0885027454548854 0.0755770968536926 0.0593645484949833 0.0788325365064202 0.0618844927513469 0.0634951176102747
"get" 0.0417583376442065 0.0418959993428079 0.0267558528428094 0.111756713517925 0.0625127617132895 0.101014959834528
"many" 0.0860097103716492 0.0969358416166927 0.0836120401337793 0.0496181259187468 0.0643975685991173 0.0610899995189764
"emma" 0.489881393855915 0 0 0 0 0
"home" 0.0810236402051768 0.0542183520906925 0.0576923076923077 0.0848609069451465 0.0480625755886095 0.0875462985232575
"went" 0.0286699034572164 0.0550398422738848 0.0409698996655518 0.100627414246431 0.0722509306233999 0.0822550387224013
"house" 0.0573398069144328 0.0870779594183849 0.123745819397993 0.0779050949004623 0.0518321893602651 0.0481023618259657
"looking" 0.0386420437901612 0.023823215312577 0.0167224080267559 0.0862520693540833 0.077591216799912 0.109192361344942
"off" 0.0610793595392871 0.0509323913579233 0.0476588628762542 0.0922804397928095 0.0549735341699782 0.0822550387224013
"perhaps" 0.0617026183100962 0.0624332539226156 0.072742474916388 0.072804166067694 0.0628268961942608 0.0678243301746116
"yet" 0.0679352060181867 0.0599687833730387 0.0652173913043478 0.0769776532945044 0.070366123737572 0.0509885035355236
"saw" 0.0673119472473776 0.084613488868808 0.0953177257525084 0.0737316076736518 0.0493191135124947 0.0524315743903026
"those" 0.05920958322686 0.0484679208083463 0.0409698996655518 0.0690943996438624 0.0797901581667112 0.0692674010293905
"because" 0.0330327148528798 0.0509323913579233 0.0551839464882943 0.0667757956289677 0.0697378547756295 0.0947616527971523
"towards" 0.0411350788733974 0.0550398422738848 0.0543478260869565 0.116857642350693 0.0898424615577929 0.000481023618259657
"anything" 0.000623258770809052 0.0657192146553849 0.0209030100334448 0.0704855620527993 0.0958110166962477 0.0788878733945837
"why" 0.0342792323944979 0.0427174895260002 0.0409698996655518 0.0834697445362096 0.067224778927859 0.0846601568136996
"woman" 0.0766608288095134 0.0451819600755771 0.0568561872909699 0.088570673368978 0.0530887272841503 0.0529125980085622
"under" 0.0392653025609703 0.0271091760453463 0.0426421404682274 0.0737316076736518 0.0794760236857399 0.0750396844485064
"yes" 0.0779073463511315 0.0624332539226156 0.0510033444816054 0.0616748667961993 0.0571724755367773 0.0654192120833133
"sister" 0.0162047280410354 0.146225252608231 0.183110367892977 0.00834697445362096 0.0267014308825608 0.0885083457597768
"people" 0.0573398069144328 0.0377885484268463 0.044314381270903 0.072804166067694 0.0731933340663138 0.0610899995189764
"against" 0.0286699034572164 0.0427174895260002 0.0543478260869565 0.0621385875991783 0.0826173684954529 0.0702294482659098
"new" 0.0224373157491259 0.0188942742134231 0.0259197324414716 0.0663120748259888 0.0904707305197355 0.0861032276684785
"having" 0.0916190393089307 0.0788630575864618 0.048494983277592 0.0366339434353364 0.0691095858136868 0.0442541728798884
"hand" 0.0324094560820707 0.0197157643966155 0.0326086956521739 0.089034394171957 0.0706802582185434 0.0760017316850257
"put" 0.0386420437901612 0.0254661956789616 0.0359531772575251 0.089034394171957 0.0628268961942608 0.0779258261580644
"same" 0.0635723946225233 0.0566828226402694 0.0852842809364548 0.0593562627813046 0.0477484411076382 0.064457164846794
"right" 0.0567165481436238 0.0328596073276924 0.0267558528428094 0.0862520693540833 0.0581148789796912 0.0726345663572081
"family" 0.047367666581488 0.124866507845231 0.0693979933110368 0.0231860401489471 0.0505756514363799 0.0774448025398047
"upon" 0.0990981445586393 0.0616117637394233 0.0819397993311037 0.0510092883276837 0.0417798859691834 0.0500264562990043
"another" 0.0704282411014229 0.047646430625154 0.06438127090301 0.0602837043872625 0.0565442065748347 0.0567607869546395
"morning" 0.0666886884765686 0.0632547441058079 0.0693979933110368 0.0783688157034413 0.049633247993466 0.0365577949877339
"these" 0.0411350788733974 0.0566828226402694 0.0535117056856187 0.0510092883276837 0.0719367961424286 0.063014093992015
"once" 0.0517304779771513 0.0468249404419617 0.0618729096989967 0.0524004507366205 0.0587431479416338 0.0726345663572081
"hope" 0.0891260042256945 0.0985788219830773 0.0735785953177258 0.0431260346770416 0.0449212307788964 0.0365577949877339
"speak" 0.0617026183100962 0.0542183520906925 0.0510033444816054 0.0593562627813046 0.0609420893084329 0.0543556688633412
"face" 0.0199442806658897 0.0221802349461924 0.0209030100334448 0.10943810950303 0.049633247993466 0.0841791331954399
"moment" 0.0691817235598048 0.0525753717243079 0.072742474916388 0.0542553339485363 0.049633247993466 0.0557987397181202
"want" 0.0560932893728147 0.0361455680604617 0.0359531772575251 0.0602837043872625 0.0628268961942608 0.0678243301746116
"else" 0.0498607016647242 0.0353240778772694 0.0384615384615385 0.0598199835842836 0.0634551651562034 0.0687863774111309
"wish" 0.0847631928300311 0.0796845477696542 0.0610367892976589 0.0315330146025681 0.0524604583222077 0.047621338207706
"hetty" 0.0012465175416181 0 0 0.293071547482692 0 0
"world" 0.0504839604355332 0.0542183520906925 0.0777591973244147 0.0398799890561891 0.0578007444987199 0.0596469286641974
"elinor" 0 0 0.520903010033445 0 0.00282721032874173 0
"room" 0.0517304779771513 0.0920069005175388 0.0819397993311037 0.0408074306621469 0.0436646928550112 0.0538746452450815
"tulliver" 0 0 0 0 0 0.299677714175766
"heart" 0.0405118201025884 0.036967058243654 0.1061872909699 0.0755864908855676 0.0361254653116999 0.0514695271537833
"really" 0.095358591933785 0.0722911361209234 0.0719063545150502 0.0278232481787365 0.049633247993466 0.0370388186059936
"since" 0.0405118201025884 0.047646430625154 0.0510033444816054 0.0556464963574731 0.0634551651562034 0.0548366924816008
"elizabeth" 0.00498607016647242 0.49042963936581 0 0.000463720802978942 0.000942403442913911 0.00144307085477897
"however" 0.0816468989759858 0.11007968454777 0.129598662207358 0.0213311569370314 0.0383244066784991 0.0110635432199721
"work" 0.011841916645372 0.0164298036638462 0.0100334448160535 0.113611596729841 0.0716226616614573 0.0404059839338112
"indeed" 0.125898271703429 0.0780415674032695 0.0836120401337793 0.0236497609519261 0.0358113308307286 0.0192409447303863
"knew" 0.0548467718311966 0.047646430625154 0.0518394648829431 0.0584288211753467 0.0546593996890069 0.0432921256433691
"till" 0.0635723946225233 0.0763985870368849 0.0693979933110368 0.0630660292051362 0.0238742205538191 0.0505074799172639
