ID;OWNER_AGE;OWNER_SEX;NEIGHBORHOOD;BREED;BIRTHYEAR;SEX;COLOR
80248;51-60;m;4;Jack Russel Terrier;2009;w;braun/weiss
80258;51-60;m;11;Dackel;2009;w;rot/schwarz
80258;51-60;m;11;Weimaraner;2016;w;grau
80267;41-50;m;12;Mischling klein;2006;m;braun
80272;51-60;m;9;Terrier;2007;m;black/tan
80306;61-70;m;9;Border Terrier;2005;m;grau/braun
80317;81-90;w;7;Windspiel;2001;w;blue
80319;41-50;w;10;Dackel;2010;w;tricolor
80319;41-50;w;10;Mischling klein;2006;m;braun/schwarz
80330;71-80;w;12;Husky;2004;w;braun/weiss
80335;61-70;w;12;Irish Setter;2008;m;braun
80335;61-70;w;12;Irish Setter;2008;m;braun
80351;81-90;w;3;Bearded Collie;2005;w;braun/weiss
80370;51-60;m;12;Deutscher Schäfer;2016;m;schwarz/braun
80380;71-80;m;2;Mischling klein;2007;w;tricolor
80382;51-60;w;10;Dachshund;2008;m;braun
80383;81-90;w;4;Bichon;1999;w;weiss
80399;61-70;w;12;Appenzeller;1998;m;tricolor
80404;61-70;m;7;Deutscher Wachtel;2015;m;braun schimmel
80404;61-70;m;7;Rottweiler;2005;w;schwarz
80406;61-70;m;11;Labrador Retriever;2008;w;schwarz
80407;71-80;m;7;Labrador Retriever;2012;w;schwarz
80410;51-60;w;7;Labrador Retriever;2012;w;schwarz
80412;51-60;m;2;Labrador Retriever;2012;m;schwarz
80416;51-60;w;9;Labrador Retriever;2008;m;schwarz
80418;41-50;w;8;Labrador Retriever;2006;m;schwarz
80434;61-70;w;7;Pudel;2006;m;schwarz
80438;71-80;m;7;Deutscher Wachtel;2006;w;rotbraun schimmel
80491;71-80;w;6;Chihuahua;2006;w;braun
80493;81-90;w;11;Shih Tzu;2006;m;weiss/schwarz
80498;61-70;m;12;Malteser;2015;m;weiss
80500;51-60;m;11;Boxer;2010;w;goldbraun
80509;71-80;w;2;Boxer;2011;w;gelb
