"ABronte_Agnes" "ABronte_Tenant" "Austen_Emma" "Austen_Pride" "Austen_Sense" "CBronte_Jane" "CBronte_Professor" "CBronte_Villette" "Dickens_Bleak" "Dickens_David" "Dickens_Hard"
"well" 0.238625051238508 0.224149576506733 0.239331367990676 0.175798899203155 0.184782608695652 0.172620192821565 0.162163988333202 0.173546739175215 0.160598517768496 0.148769990967536 0.152192340294367
"how" 0.180066756456052 0.16676728492101 0.231229003970158 0.189764232317424 0.197324414715719 0.147502084268582 0.118244574826293 0.168911959790714 0.153848317371922 0.172819275221687 0.14544964167373
"time" 0.207881946477719 0.173940071369225 0.173265938284917 0.164298036638462 0.199832775919732 0.121849547874046 0.147524183830899 0.120504263997034 0.180849118958219 0.18288641746761 0.166640980195731
"into" 0.133220120630087 0.153019444228597 0.101591179641876 0.115830115830116 0.0961538461538462 0.141088950169948 0.158785571909594 0.154492646150043 0.20953747064366 0.212528558525052 0.22732526778146
"miss" 0.266440241260175 0.0484163085254544 0.375201780027049 0.232481721843424 0.175585284280936 0.165672630881378 0.00337841642360837 0.0782762740493552 0.161161034468211 0.199944630717647 0.0366032210834553
"must" 0.18885050067342 0.187687912061638 0.355880758131969 0.253018976423232 0.236622073578595 0.165672630881378 0.0945956598610345 0.146768013842541 0.103503072747472 0.0998324939387414 0.0992139939893658
"has" 0.0673420389998243 0.130903352679932 0.157061210243881 0.181549330485501 0.17809364548495 0.13200367686355 0.122749130057771 0.0798212005108557 0.301508951046984 0.119127849910095 0.143523156353549
"about" 0.20934590384728 0.155410373044669 0.155191433931454 0.100221802349462 0.120401337792642 0.116505269458518 0.112613880786946 0.133893626663371 0.194349519751368 0.184284631668433 0.18686907605764
"like" 0.196170287521227 0.141662532352256 0.122781977849383 0.0632547441058079 0.0668896321070234 0.195066162166784 0.176803792835505 0.197235611584889 0.172130110112644 0.172539632381522 0.151229097634276
"think" 0.174210926977806 0.192469769693782 0.239331367990676 0.173334428653578 0.175585284280936 0.117574125141623 0.0777035777429926 0.125139043381535 0.14175420832806 0.165548561377409 0.111736148570548
"before" 0.142003864847456 0.16676728492101 0.155814692702263 0.186478271584655 0.167224080267559 0.15284636268411 0.134010518136466 0.10814485230503 0.151035733873349 0.164429990016751 0.156045310934731
"upon" 0.175674884347368 0.211597200222356 0.0990981445586393 0.0616117637394233 0.0819397993311037 0.0261869642360888 0.0529285239698645 0.0690067152803527 0.221069062987807 0.225392129172621 0.274524158125915
"say" 0.134684077999649 0.121937369619663 0.194456736492424 0.13143842931077 0.133779264214047 0.106351140469014 0.0822081329744704 0.105054999382029 0.195193294800939 0.1711414181807 0.177236649456731
"see" 0.22984130702114 0.18709017985762 0.13836344711961 0.121580547112462 0.144648829431438 0.147502084268582 0.108109325555468 0.110204754253698 0.148785667074491 0.15576106197165 0.137743700393003
"only" 0.200562159629912 0.174537803573243 0.212531240845887 0.177441879569539 0.239966555183946 0.155518501891875 0.137388934560074 0.123594116920035 0.111378306543476 0.0981546368977542 0.133890729752639
